id,frequency,power1,power2,power3
1,1.7,-86.478,-111.527,-112.456
2,1.705050505050505,-86.264,-113.36,-112.359
3,1.7101010101010101,-86.124,-112.753,-113.047
4,1.715151515151515,-86.102,-112.35,-112.582
5,1.72020202020202,-86.284,-112.868,-111.269
6,1.7252525252525253,-85.865,-112.187,-112.061
7,1.7303030303030302,-86.366,-113.665,-112.281
8,1.7353535353535354,-87.347,-112.801,-111.253
9,1.7404040404040404,-86.984,-112.605,-110.274
10,1.7454545454545454,-87.442,-112.973,-111.651
11,1.7505050505050506,-87.73,-112.638,-112.896
12,1.7555555555555555,-88.084,-111.953,-112.188
13,1.7606060606060605,-88.444,-111.626,-112.713
14,1.7656565656565657,-87.916,-112.903,-111.884
15,1.7707070707070707,-87.942,-113.221,-113.514
16,1.7757575757575756,-89.237,-112.774,-112.579
17,1.7808080808080808,-89.112,-112.527,-112.314
18,1.7858585858585858,-90.602,-112.487,-112.452
19,1.790909090909091,-89.831,-114.001,-112.958
20,1.795959595959596,-89.683,-112.236,-113.491
21,1.801010101010101,-89.695,-112.911,-110.801
22,1.8060606060606061,-89.914,-113.913,-113.376
23,1.8111111111111111,-91.419,-113.824,-111.444
24,1.816161616161616,-91.824,-112.116,-113.13
25,1.8212121212121213,-92.133,-111.861,-112.013
26,1.8262626262626263,-95.8,-112.904,-112.497
27,1.8313131313131312,-95.776,-112.096,-112.657
28,1.8363636363636364,-97.309,-112.473,-113.074
29,1.8414141414141414,-97.26,-113.042,-113.538
30,1.8464646464646464,-97.582,-113.53,-112.859
31,1.8515151515151516,-101.631,-112.688,-112.503
32,1.8565656565656565,-100.161,-112.966,-113.061
33,1.8616161616161617,-103.931,-113.033,-112.648
34,1.8666666666666667,-101.253,-113.255,-113.566
35,1.8717171717171717,-103.014,-113.073,-112.853
36,1.8767676767676769,-103.263,-114.048,-112.768
37,1.8818181818181818,-101.525,-112.854,-112.622
38,1.886868686868687,-98.911,-111.932,-113.646
39,1.891919191919192,-96.435,-112.446,-112.669
40,1.896969696969697,-96.546,-112.517,-111.629
41,1.9020202020202022,-92.991,-112.748,-112.645
42,1.9070707070707071,-90.669,-110.706,-112.9
43,1.912121212121212,-91.806,-112.552,-113.362
44,1.9171717171717173,-89.967,-112.115,-111.999
45,1.9222222222222223,-90.996,-112.716,-112.862
46,1.9272727272727272,-91.369,-113.047,-112.576
47,1.9323232323232324,-91.683,-112.271,-112.222
48,1.9373737373737374,-91.013,-113.549,-112.136
49,1.9424242424242424,-90.908,-112.282,-111.342
50,1.9474747474747476,-91.65,-112.758,-112.563
51,1.9525252525252526,-90.923,-111.105,-111.783
52,1.9575757575757575,-90.615,-111.634,-111.616
53,1.9626262626262627,-90.744,-112.684,-112.02
54,1.9676767676767677,-90.335,-111.752,-112.54
55,1.9727272727272727,-90.785,-113.155,-112.256
56,1.9777777777777779,-90.163,-112.981,-113.2
57,1.9828282828282828,-89.701,-111.382,-112.249
58,1.987878787878788,-88.597,-113.221,-112.828
59,1.992929292929293,-88.378,-113.075,-113.821
60,1.9979797979797982,-86.712,-111.716,-112.335
61,2.003030303030303,-86.641,-113.851,-112.567
62,2.008080808080808,-85.433,-113.008,-113.559
63,2.0131313131313133,-85.631,-112.226,-112.101
64,2.0181818181818185,-84.94,-113.135,-112.925
65,2.0232323232323233,-84.849,-111.556,-113.527
66,2.0282828282828285,-84.494,-112.446,-112.377
67,2.033333333333333,-84.732,-112.452,-113.2
68,2.0383838383838384,-84.729,-113.255,-113.364
69,2.0434343434343436,-85.003,-113.066,-111.72
70,2.048484848484849,-85.353,-110.764,-113.186
71,2.0535353535353535,-85.55,-113.346,-113.0
72,2.0585858585858587,-85.993,-112.877,-111.722
73,2.063636363636364,-86.011,-113.142,-112.922
74,2.0686868686868687,-86.06,-111.905,-113.273
75,2.073737373737374,-86.052,-112.886,-113.125
76,2.078787878787879,-86.254,-113.003,-112.836
77,2.083838383838384,-86.572,-112.169,-111.723
78,2.088888888888889,-86.75,-112.436,-112.278
79,2.093939393939394,-86.329,-112.528,-112.495
80,2.098989898989899,-86.662,-112.38,-112.44
81,2.104040404040404,-86.77,-111.882,-111.026
82,2.1090909090909093,-86.593,-111.781,-112.321
83,2.114141414141414,-86.281,-112.875,-112.548
84,2.1191919191919193,-86.318,-110.529,-111.098
85,2.1242424242424245,-86.325,-110.985,-111.968
86,2.1292929292929292,-86.117,-112.587,-111.724
87,2.1343434343434344,-85.61,-112.157,-111.605
88,2.1393939393939396,-85.163,-112.303,-112.427
89,2.144444444444445,-85.072,-111.562,-111.298
90,2.1494949494949496,-84.692,-110.697,-112.838
91,2.1545454545454548,-84.231,-111.07,-112.016
92,2.1595959595959595,-84.292,-110.173,-112.334
93,2.1646464646464647,-84.186,-111.405,-112.189
94,2.16969696969697,-84.243,-111.895,-111.814
95,2.174747474747475,-84.365,-111.318,-112.207
96,2.17979797979798,-84.648,-111.197,-110.721
97,2.184848484848485,-84.954,-112.085,-111.551
98,2.1898989898989902,-84.725,-111.586,-111.211
99,2.194949494949495,-84.862,-110.691,-111.84
100,2.2,-84.777,-112.016,-111.334
