id,frequency,power1,power2,power3
1,0.0,-82.672,-113.599,-114.916
2,0.013377926421404682,-81.94,-112.653,-111.973
3,0.026755852842809364,-82.157,-111.597,-109.702
4,0.04013377926421405,-81.38,-112.304,-110.762
5,0.05351170568561873,-82.852,-111.447,-112.455
6,0.06688963210702341,-83.7,-112.535,-112.565
7,0.0802675585284281,-83.982,-112.572,-111.654
8,0.09364548494983277,-83.22,-112.266,-113.157
9,0.10702341137123746,-83.37,-112.063,-112.172
10,0.12040133779264214,-84.227,-113.887,-112.039
11,0.13377926421404682,-83.257,-112.214,-113.757
12,0.1471571906354515,-83.052,-114.877,-113.841
13,0.1605351170568562,-81.417,-112.787,-114.32
14,0.17391304347826086,-81.022,-114.14,-113.565
15,0.18729096989966554,-81.361,-115.184,-115.316
16,0.20066889632107024,-82.569,-115.406,-115.094
17,0.2140468227424749,-83.755,-114.423,-114.265
18,0.22742474916387959,-83.544,-115.411,-114.454
19,0.2408026755852843,-82.642,-116.552,-115.625
20,0.25418060200668896,-81.31,-115.486,-114.883
21,0.26755852842809363,-80.972,-114.249,-114.564
22,0.2809364548494983,-82.72,-114.374,-115.221
23,0.294314381270903,-84.954,-114.738,-113.716
24,0.3076923076923077,-85.267,-115.452,-115.074
25,0.3210702341137124,-84.715,-115.544,-114.224
26,0.33444816053511706,-82.503,-114.672,-115.877
27,0.34782608695652173,-80.867,-115.708,-115.315
28,0.3612040133779264,-80.931,-114.761,-114.633
29,0.3745819397993311,-82.792,-114.524,-114.399
30,0.3879598662207358,-83.943,-114.718,-114.992
31,0.4013377926421405,-85.202,-115.657,-114.504
32,0.41471571906354515,-85.164,-114.055,-115.209
33,0.4280936454849498,-84.081,-114.803,-116.015
34,0.4414715719063545,-83.801,-115.623,-115.15
35,0.45484949832775917,-84.272,-114.19,-113.467
36,0.46822742474916385,-84.916,-114.738,-115.605
37,0.4816053511705686,-85.711,-114.384,-114.485
38,0.49498327759197325,-85.954,-113.952,-115.486
39,0.5083612040133779,-86.689,-114.003,-114.334
40,0.5217391304347826,-88.38,-112.847,-115.509
41,0.5351170568561873,-88.8,-114.067,-114.169
42,0.5484949832775919,-88.48,-114.994,-113.423
43,0.5618729096989966,-94.854,-115.511,-114.523
44,0.5752508361204013,-95.7,-115.996,-114.82
45,0.588628762541806,-99.83,-115.672,-114.449
46,0.6020066889632107,-92.82,-115.477,-114.09
47,0.6153846153846154,-99.317,-114.497,-114.45
48,0.6287625418060201,-97.986,-114.675,-114.685
49,0.6421404682274248,-99.269,-114.51,-114.633
50,0.6555183946488294,-94.428,-114.424,-114.102
51,0.6688963210702341,-91.547,-114.03,-114.999
52,0.6822742474916388,-85.039,-113.931,-113.731
53,0.6956521739130435,-88.511,-114.688,-113.671
54,0.7090301003344481,-87.38,-112.983,-114.125
55,0.7224080267558528,-86.814,-113.788,-114.032
56,0.7357859531772575,-85.966,-114.711,-114.82
57,0.7491638795986622,-85.873,-113.701,-114.377
58,0.7625418060200668,-83.565,-114.787,-114.764
59,0.7759197324414716,-82.429,-112.134,-115.254
60,0.7892976588628763,-84.681,-114.459,-113.876
61,0.802675585284281,-83.746,-113.679,-114.072
62,0.8160535117056856,-84.059,-113.04,-112.658
63,0.8294314381270903,-83.559,-114.021,-113.193
64,0.842809364548495,-83.175,-115.158,-113.397
65,0.8561872909698997,-83.142,-114.766,-114.585
66,0.8695652173913043,-83.563,-114.891,-114.43
67,0.882943143812709,-83.676,-113.753,-114.269
68,0.8963210702341137,-83.256,-113.7,-113.688
69,0.9096989966555183,-83.384,-113.561,-113.821
70,0.923076923076923,-83.097,-114.759,-113.406
71,0.9364548494983277,-82.964,-112.994,-114.752
72,0.9498327759197325,-82.774,-113.891,-114.854
73,0.9632107023411371,-82.687,-112.105,-113.309
74,0.9765886287625418,-82.027,-113.867,-113.477
