L,O,1
1500.0,-9.39,-49.68
1500.01,-9.54,-49.42
1500.02,-9.61,-49.37
1500.03,-9.54,-49.48
1500.04,-9.24,-49.87
1500.05,-9.31,-49.72
1500.06,-9.73,-49.28
1500.07,-9.84,-49.21
1500.08,-9.67,-49.37
1500.09,-9.45,-49.69
1500.1,-9.15,-49.9
1500.11,-9.3,-49.77
1500.12,-9.44,-49.6
1500.13,-9.39,-49.65
1500.14,-9.3,-49.75
1500.15,-9.31,-49.75
1500.16,-9.8,-49.35
1500.17,-9.81,-49.22
1500.18,-9.66,-49.61
1500.19,-9.55,-49.7
1500.2,-9.46,-49.79
1500.21,-9.39,-49.82
1500.22,-9.34,-49.83
1500.23,-9.28,-49.87
1500.24,-9.24,-50.03
1500.25,-9.2,-49.96
1500.26,-9.14,-50.06
1500.27,-9.1,-50.1
1500.28,-9.06,-50.12
1500.29,-9.04,-50.14
1500.3,-9.03,-50.14
1500.31,-8.98,-50.23
1500.32,-8.93,-50.18
1500.33,-8.8,-50.43
1500.34,-8.44,-50.72
1500.35,-8.41,-50.77
1500.36,-8.37,-50.75
1500.37,-8.27,-50.87
1500.38,-8.12,-51.04
1500.39,-8.15,-51.03
1500.4,-8.18,-51.07
1500.41,-8.23,-51.02
1500.42,-8.27,-50.98
1500.43,-8.32,-50.89
1500.44,-8.35,-50.95
1500.45,-8.44,-50.86
1500.46,-8.5,-50.79
1500.47,-8.55,-50.83
1500.48,-8.62,-50.75
1500.49,-8.67,-50.69
1500.5,-8.76,-50.66
1500.51,-8.85,-50.52
1500.52,-8.94,-50.34
1500.53,-9.0,-50.45
1500.54,-9.07,-50.4
1500.55,-9.15,-50.39
1500.56,-9.23,-50.23
1500.57,-9.31,-50.22
1500.58,-9.33,-50.07
1500.59,-9.37,-50.17
1500.6,-9.43,-50.11
1500.61,-9.5,-50.03
1500.62,-9.55,-49.97
1500.63,-9.6,-49.81
1500.64,-9.59,-49.88
1500.65,-9.59,-49.93
1500.66,-9.63,-49.84
1500.67,-9.68,-49.92
1500.68,-9.71,-49.94
1500.69,-9.66,-49.91
1500.7,-9.64,-49.88
1500.71,-9.62,-49.92
1500.72,-9.65,-49.97
1500.73,-9.65,-49.9
1500.74,-9.64,-49.98
1500.75,-9.6,-50.02
1500.76,-9.58,-50.02
1500.77,-9.59,-49.99
1500.78,-9.62,-49.94
1500.79,-9.6,-49.95
1500.8,-9.58,-50.01
1500.81,-9.58,-49.93
1500.82,-9.58,-49.89
1500.83,-9.58,-50.03
1500.84,-9.56,-49.94
1500.85,-9.52,-50.02
1500.86,-9.48,-49.97
1500.87,-9.46,-50.05
1500.88,-9.45,-50.08
1500.89,-9.44,-49.95
1500.9,-9.37,-50.18
1500.91,-9.32,-50.11
1500.92,-9.35,-50.11
1500.93,-9.49,-49.92
1500.94,-9.38,-50.16
1500.95,-9.21,-50.33
1500.96,-9.17,-50.23
1500.97,-9.29,-50.16
1500.98,-9.81,-49.63
1500.99,-9.87,-49.68
1501.0,-9.76,-49.73
1501.01,-9.64,-49.94
1501.02,-9.54,-49.93
1501.03,-9.43,-50.16
1501.04,-9.37,-50.22
1501.05,-9.3,-50.26
1501.06,-9.25,-50.47
1501.07,-9.18,-50.47
1501.08,-9.12,-50.52
1501.09,-9.04,-50.59
1501.1,-8.15,-51.42
1501.11,-8.11,-51.64
