id,frequency,power1,power2,power3
1,0.0,-86.133,-107.977,-105.884
2,0.01507537688442211,-83.916,-112.012,-111.902
3,0.03015075376884422,-81.851,-111.294,-110.746
4,0.04522613065326633,-82.411,-111.656,-112.519
5,0.06030150753768844,-83.768,-112.466,-111.952
6,0.07537688442211055,-84.118,-112.46,-112.882
7,0.09045226130653267,-83.804,-112.622,-112.67
8,0.10552763819095477,-83.259,-111.363,-112.547
9,0.12060301507537688,-84.621,-112.713,-113.47
10,0.135678391959799,-83.577,-113.276,-113.375
11,0.1507537688442211,-82.741,-113.914,-115.108
12,0.1658291457286432,-81.619,-114.063,-113.134
13,0.18090452261306533,-81.644,-112.172,-114.55
14,0.19597989949748743,-82.399,-114.255,-114.86
15,0.21105527638190955,-83.219,-114.274,-115.563
16,0.22613065326633164,-83.437,-115.403,-115.316
17,0.24120603015075376,-82.594,-114.314,-115.752
18,0.2562814070351759,-81.828,-114.826,-115.054
19,0.271356783919598,-81.231,-115.393,-115.204
20,0.28643216080402006,-83.18,-114.866,-113.985
21,0.3015075376884422,-84.579,-114.235,-114.84
22,0.3165829145728643,-84.313,-115.272,-114.81
23,0.3316582914572864,-83.243,-114.536,-113.737
24,0.34673366834170855,-80.715,-115.913,-115.888
25,0.36180904522613067,-80.151,-114.711,-114.426
26,0.37688442211055273,-81.793,-115.522,-114.296
27,0.39195979899497485,-83.102,-114.664,-113.711
28,0.40703517587939697,-83.756,-114.864,-114.94
29,0.4221105527638191,-83.451,-115.311,-114.31
30,0.4371859296482412,-81.93,-115.417,-115.276
31,0.4522613065326633,-81.779,-115.526,-113.308
32,0.4673366834170854,-82.354,-114.783,-115.904
33,0.4824120603015075,-83.104,-113.988,-114.887
34,0.49748743718592964,-83.702,-115.628,-116.052
35,0.5125628140703518,-83.352,-115.299,-114.674
36,0.5276381909547738,-82.708,-115.124,-114.179
37,0.542713567839196,-81.852,-114.982,-115.143
38,0.5577889447236181,-81.09,-114.894,-114.113
39,0.5728643216080401,-81.302,-114.681,-114.852
