L,O,1
1502.12,-9.76,-19.2
1502.13,-9.78,-19.21
1502.14,-9.79,-19.22
1502.15,-9.75,-19.22
1502.16,-9.72,-19.2
1502.17,-9.72,-19.18
1502.18,-9.71,-19.19
1502.19,-9.72,-19.18
1502.2,-9.69,-19.15
1502.21,-9.65,-19.18
1502.22,-9.61,-19.17
1502.23,-9.58,-19.18
1502.24,-9.56,-19.15
1502.25,-9.53,-19.13
1502.26,-9.47,-19.12
1502.27,-9.43,-19.11
1502.28,-9.37,-19.12
1502.29,-9.32,-19.11
1502.3,-9.3,-19.12
1502.31,-9.33,-19.14
1502.32,-9.83,-19.14
1502.33,-9.88,-19.2
1502.34,-9.76,-19.17
1502.35,-9.67,-19.16
1502.36,-9.56,-19.21
1502.37,-9.5,-19.16
1502.38,-9.43,-19.17
1502.39,-9.37,-19.19
1502.4,-9.31,-19.16
1502.41,-9.28,-19.14
1502.42,-9.24,-19.15
1502.43,-9.21,-19.1
1502.44,-9.16,-19.12
1502.45,-9.14,-19.13
1502.46,-9.11,-19.12
1502.47,-9.08,-19.09
1502.48,-9.06,-19.12
1502.49,-9.04,-19.1
1502.5,-9.01,-19.03
1502.51,-8.98,-19.04
1502.52,-8.96,-19.03
1502.53,-8.95,-19.0
1502.54,-8.92,-19.02
1502.55,-8.89,-19.04
1502.56,-8.88,-19.04
1502.57,-8.89,-19.03
1502.58,-8.83,-19.02
1502.59,-8.1,-19.08
1502.6,-7.69,-19.1
1502.61,-7.8,-19.12
1502.62,-7.95,-19.12
1502.63,-8.07,-19.15
1502.64,-8.21,-19.14
1502.65,-8.36,-19.14
1502.66,-8.48,-19.18
1502.67,-8.62,-19.15
1502.68,-8.84,-19.12
1502.69,-8.97,-19.11
1502.7,-9.1,-19.14
1502.71,-9.19,-19.16
1502.72,-9.32,-19.15
1502.73,-9.46,-19.14
1502.74,-9.59,-19.14
1502.75,-9.68,-19.16
1502.76,-9.72,-19.13
1502.77,-9.76,-19.08
1502.78,-9.88,-19.12
1502.79,-9.97,-19.1
1502.8,-10.02,-19.08
1502.81,-9.96,-19.1
1502.82,-9.92,-19.07
1502.83,-9.87,-19.08
1502.84,-9.94,-19.05
1502.85,-9.95,-19.06
1502.86,-9.93,-19.03
1502.87,-9.83,-19.07
1502.88,-9.72,-19.09
1502.89,-9.72,-19.07
1502.9,-9.72,-19.11
1502.91,-9.69,-19.11
1502.92,-9.63,-19.09
1502.93,-9.56,-19.08
1502.94,-9.51,-19.06
1502.95,-9.5,-19.09
1502.96,-9.47,-19.12
1502.97,-9.45,-19.11
1502.98,-9.42,-19.13
1502.99,-9.38,-19.14
1503.0,-9.35,-19.14
1503.01,-9.32,-19.12
1503.02,-9.32,-19.11
1503.03,-9.31,-19.09
1503.04,-9.27,-19.09
1503.05,-9.23,-19.11
1503.06,-9.18,-19.1
1503.07,-9.15,-19.11
1503.08,-8.81,-19.1
1503.09,-8.62,-19.08
