Time(s),ct400.detectors.P_detector1(dBm)
543.7242469787598,-27.451
543.9411194324493,-27.328
544.1575722694397,-27.226
544.3743662834167,-27.186
544.5910444259644,-27.166
544.8077669143677,-27.126
545.0247242450714,-27.186
545.2410883903503,-27.186
545.4415831565857,-27.226
545.6582579612732,-27.206
545.8743994235992,-27.146
546.091560125351,-27.146
546.3076903820038,-27.086
546.3881607055664,-27.126
546.4696757793427,-27.126
546.5509126186371,-27.106
546.756368637085,-27.106
546.8378250598907,-27.106
546.9190492630005,-27.106
547.0001933574677,-27.086
547.0804622173309,-27.126
547.2910733222961,-27.126
547.5077526569366,-27.086
547.641086101532,-27.086
547.8577945232391,-27.106
548.0744247436523,-27.146
548.2910943031311,-27.106
548.5077064037323,-27.106
548.724374294281,-27.126
548.9410929679871,-27.106
549.1577968597412,-27.106
549.3743534088135,-27.086
549.5066630840302,-27.106
549.7244009971619,-27.126
549.9414262771606,-27.146
550.157684803009,-27.166
550.3743152618408,-27.166
550.5910232067108,-27.186
550.8077545166016,-27.226
551.0242395401001,-27.287
551.2409942150116,-27.307
551.4285235404968,-27.328
551.6415405273438,-27.41
551.8581755161285,-27.472
552.0070471763611,-27.451
552.207706451416,-27.39
552.4243984222412,-27.349
552.6411008834839,-27.328
552.8576965332031,-27.349
552.9378774166107,-27.328
