id,frequency,power1,power2,power3
1,2.5,-85.253,-112.109,-111.097
2,2.5093959731543625,-84.973,-111.196,-111.845
3,2.518791946308725,-85.287,-111.132,-109.364
4,2.5281879194630874,-85.88,-111.172,-113.528
5,2.53758389261745,-86.38,-111.937,-112.226
6,2.546979865771812,-86.668,-111.771,-111.169
7,2.5563758389261744,-86.975,-111.501,-111.614
8,2.565771812080537,-86.886,-113.057,-111.235
9,2.5751677852348993,-86.708,-112.842,-110.511
10,2.584563758389262,-86.432,-112.349,-112.258
11,2.5939597315436242,-86.549,-111.618,-113.039
12,2.6033557046979867,-86.582,-111.637,-111.349
13,2.612751677852349,-86.876,-112.518,-110.859
14,2.622147651006711,-86.972,-111.373,-113.124
15,2.6315436241610737,-86.734,-112.414,-112.528
16,2.640939597315436,-86.282,-111.494,-111.188
17,2.6503355704697986,-85.646,-112.864,-111.501
18,2.659731543624161,-84.918,-111.871,-111.008
19,2.6691275167785236,-84.58,-112.544,-112.226
20,2.678523489932886,-84.901,-110.674,-111.196
21,2.6879194630872485,-85.944,-111.673,-111.906
22,2.6973154362416105,-86.398,-111.902,-110.296
23,2.706711409395973,-87.641,-112.767,-112.032
24,2.7161073825503355,-88.05,-112.012,-111.091
25,2.725503355704698,-88.103,-111.794,-111.163
26,2.7348993288590604,-88.218,-111.323,-111.603
27,2.744295302013423,-87.874,-111.093,-111.484
28,2.7536912751677853,-87.333,-110.307,-110.592
29,2.763087248322148,-86.71,-111.217,-111.552
30,2.7724832214765103,-85.967,-109.931,-110.201
31,2.7818791946308723,-85.222,-111.599,-109.393
32,2.7912751677852348,-84.827,-109.504,-110.165
33,2.8006711409395972,-84.733,-111.17,-111.173
34,2.8100671140939597,-85.308,-110.739,-111.249
35,2.819463087248322,-85.932,-109.333,-111.742
36,2.8288590604026846,-87.29,-110.033,-110.616
37,2.838255033557047,-88.032,-110.523,-110.399
38,2.847651006711409,-89.371,-110.712,-109.826
39,2.8570469798657716,-89.608,-110.225,-109.781
40,2.866442953020134,-90.363,-110.665,-110.058
41,2.8758389261744965,-89.954,-110.48,-109.653
42,2.885234899328859,-89.728,-109.686,-110.481
43,2.8946308724832215,-89.522,-110.707,-109.862
44,2.904026845637584,-88.285,-109.483,-110.301
45,2.9134228187919464,-87.504,-110.796,-110.677
46,2.922818791946309,-87.848,-110.783,-111.068
47,2.932214765100671,-89.616,-110.869,-110.369
48,2.9416107382550334,-91.525,-109.136,-110.153
49,2.951006711409396,-92.612,-110.767,-110.762
50,2.9604026845637583,-94.333,-111.223,-111.16
51,2.969798657718121,-96.739,-111.04,-110.246
52,2.9791946308724833,-95.367,-109.603,-110.996
53,2.9885906040268457,-94.534,-110.548,-112.054
54,2.997986577181208,-96.936,-111.164,-111.432
55,3.0073825503355707,-95.088,-110.476,-111.347
56,3.0167785234899327,-95.876,-111.223,-109.986
57,3.026174496644295,-94.993,-110.378,-109.679
58,3.0355704697986576,-92.536,-110.585,-110.007
59,3.04496644295302,-92.844,-109.919,-109.692
60,3.0543624161073826,-92.669,-110.109,-110.497
61,3.063758389261745,-91.502,-110.107,-109.227
62,3.0731543624161075,-91.036,-110.202,-109.818
63,3.0825503355704695,-88.773,-110.5,-110.68
64,3.091946308724832,-86.831,-108.717,-109.73
65,3.1013422818791945,-85.87,-109.939,-110.174
66,3.110738255033557,-84.272,-110.284,-109.6
67,3.1201342281879194,-85.237,-109.59,-108.858
68,3.129530201342282,-86.717,-109.751,-109.426
69,3.1389261744966444,-87.57,-108.493,-110.009
70,3.148322147651007,-88.39,-109.658,-109.957
71,3.1577181208053693,-89.103,-110.656,-108.638
72,3.1671140939597313,-89.714,-108.596,-109.476
73,3.176510067114094,-89.55,-108.962,-110.181
74,3.1859060402684563,-89.098,-109.423,-109.523
75,3.1953020134228187,-88.771,-109.845,-109.845
76,3.204697986577181,-87.849,-110.209,-108.991
77,3.2140939597315437,-86.962,-109.158,-108.738
78,3.223489932885906,-85.633,-109.958,-108.954
79,3.232885906040268,-84.154,-109.741,-110.712
80,3.242281879194631,-84.012,-109.187,-108.887
81,3.251677852348993,-84.682,-108.888,-109.24
82,3.2610738255033556,-85.967,-110.914,-109.974
83,3.270469798657718,-86.801,-109.712,-109.501
84,3.2798657718120805,-87.73,-109.561,-110.28
85,3.289261744966443,-88.149,-110.906,-110.013
86,3.2986577181208054,-87.874,-109.609,-108.953
87,3.308053691275168,-87.677,-109.684,-110.575
88,3.31744966442953,-87.009,-110.336,-110.22
89,3.3268456375838924,-86.491,-109.038,-110.269
90,3.336241610738255,-86.048,-110.519,-110.153
91,3.3456375838926173,-86.312,-111.005,-109.792
92,3.35503355704698,-86.854,-109.872,-109.61
93,3.3644295302013423,-87.01,-110.024,-109.069
94,3.3738255033557047,-87.601,-110.591,-110.113
95,3.3832214765100668,-87.538,-110.074,-109.632
96,3.3926174496644297,-86.93,-108.679,-109.438
97,3.4020134228187917,-86.353,-110.259,-108.094
98,3.411409395973154,-85.028,-108.248,-109.066
99,3.4208053691275166,-84.007,-107.695,-108.055
100,3.430201342281879,-83.993,-108.926,-109.399
101,3.4395973154362416,-84.718,-108.356,-109.5
102,3.448993288590604,-86.114,-108.941,-108.576
103,3.4583892617449665,-87.298,-107.933,-109.791
104,3.4677852348993286,-88.413,-108.369,-108.643
105,3.4771812080536915,-89.101,-106.963,-107.023
106,3.4865771812080535,-89.083,-108.325,-108.157
107,3.495973154362416,-89.042,-108.006,-108.534
108,3.5053691275167784,-88.884,-107.011,-107.976
109,3.514765100671141,-87.639,-108.81,-108.352
110,3.5241610738255034,-86.62,-107.253,-108.068
111,3.5335570469798654,-85.194,-107.989,-108.929
112,3.5429530201342283,-83.68,-108.462,-107.191
113,3.5523489932885903,-82.682,-108.893,-108.289
114,3.5617449664429532,-83.493,-108.749,-106.974
115,3.5711409395973153,-85.171,-106.713,-107.957
116,3.5805369127516777,-86.632,-106.49,-108.445
117,3.58993288590604,-87.695,-107.842,-106.936
118,3.5993288590604027,-88.711,-108.366,-108.634
119,3.608724832214765,-88.617,-107.903,-108.203
120,3.618120805369127,-88.972,-107.614,-107.95
121,3.62751677852349,-88.445,-107.555,-108.796
122,3.636912751677852,-87.781,-107.84,-109.241
123,3.6463087248322146,-86.907,-107.912,-109.096
124,3.655704697986577,-85.563,-109.419,-106.41
125,3.6651006711409395,-84.584,-109.426,-108.562
126,3.674496644295302,-85.33,-108.651,-107.82
127,3.683892617449664,-86.094,-109.302,-109.178
128,3.693288590604027,-86.96,-108.816,-108.783
