id,frequency,power1,power2,power3
1,0.0,-85.457,-112.65,-112.864
2,0.013377926421404682,-85.522,-112.152,-112.946
3,0.026755852842809364,-85.676,-112.071,-111.132
4,0.04013377926421405,-84.939,-113.416,-110.694
5,0.05351170568561873,-86.551,-112.034,-112.976
6,0.06688963210702341,-87.163,-112.743,-113.007
7,0.0802675585284281,-87.488,-112.654,-112.576
8,0.09364548494983277,-86.749,-112.616,-111.805
9,0.10702341137123746,-86.683,-113.691,-112.788
10,0.12040133779264214,-87.634,-113.887,-112.765
11,0.13377926421404682,-86.742,-113.65,-113.773
12,0.1471571906354515,-86.337,-114.162,-113.145
13,0.1605351170568562,-84.702,-114.237,-114.53
14,0.17391304347826086,-84.524,-114.194,-115.182
15,0.18729096989966554,-84.687,-115.111,-114.998
16,0.20066889632107024,-85.709,-114.746,-115.043
17,0.2140468227424749,-86.996,-113.86,-114.278
18,0.22742474916387959,-86.691,-115.791,-114.821
19,0.2408026755852843,-85.616,-115.413,-114.445
20,0.25418060200668896,-84.565,-115.79,-115.7
21,0.26755852842809363,-84.205,-114.641,-115.183
22,0.2809364548494983,-85.636,-114.118,-115.418
23,0.294314381270903,-87.59,-114.746,-115.137
24,0.3076923076923077,-88.155,-114.503,-114.389
25,0.3210702341137124,-87.092,-113.226,-114.504
26,0.33444816053511706,-85.447,-115.541,-114.572
27,0.34782608695652173,-83.429,-115.063,-115.282
28,0.3612040133779264,-83.203,-114.367,-115.005
29,0.3745819397993311,-85.27,-114.914,-114.444
30,0.3879598662207358,-86.28,-115.56,-114.981
31,0.4013377926421405,-86.622,-114.971,-113.972
32,0.41471571906354515,-86.292,-115.067,-114.62
33,0.4280936454849498,-85.583,-114.798,-115.288
34,0.4414715719063545,-85.116,-115.213,-115.083
35,0.45484949832775917,-85.298,-115.297,-113.415
36,0.46822742474916385,-85.336,-113.801,-114.982
37,0.4816053511705686,-86.061,-114.994,-114.989
38,0.49498327759197325,-86.323,-114.957,-114.272
39,0.5083612040133779,-86.357,-114.368,-114.906
40,0.5217391304347826,-86.061,-114.782,-113.667
41,0.5351170568561873,-85.73,-114.209,-114.771
42,0.5484949832775919,-84.774,-114.523,-113.023
43,0.5618729096989966,-84.084,-114.239,-114.265
44,0.5752508361204013,-84.295,-115.136,-115.039
45,0.588628762541806,-85.258,-115.711,-115.542
46,0.6020066889632107,-86.484,-114.279,-113.784
47,0.6153846153846154,-87.616,-115.662,-114.885
48,0.6287625418060201,-87.357,-114.158,-113.638
49,0.6421404682274248,-86.971,-114.104,-114.904
50,0.6555183946488294,-85.879,-112.917,-112.698
51,0.6688963210702341,-84.733,-114.861,-116.115
52,0.6822742474916388,-84.744,-114.982,-113.032
53,0.6956521739130435,-85.573,-114.287,-114.643
54,0.7090301003344481,-86.563,-114.847,-112.704
55,0.7224080267558528,-86.831,-113.831,-114.01
56,0.7357859531772575,-86.879,-114.498,-115.01
57,0.7491638795986622,-85.835,-113.715,-114.227
58,0.7625418060200668,-85.094,-113.411,-114.099
59,0.7759197324414716,-85.097,-114.044,-115.042
60,0.7892976588628763,-85.847,-114.264,-114.378
61,0.802675585284281,-86.249,-114.716,-113.619
62,0.8160535117056856,-86.602,-114.451,-114.381
63,0.8294314381270903,-86.401,-113.674,-114.838
64,0.842809364548495,-86.184,-114.134,-112.346
65,0.8561872909698997,-86.067,-112.593,-114.224
66,0.8695652173913043,-86.36,-113.418,-114.274
67,0.882943143812709,-86.528,-114.1,-114.95
