L,O,1
1502.12,-9.22,-48.48
1502.13,-7.48,-50.2
1502.14,-7.83,-50.08
1502.15,-8.3,-49.64
1502.16,-8.8,-49.14
1502.17,-9.23,-48.74
1502.18,-9.55,-48.23
1502.19,-9.8,-48.02
1502.2,-9.87,-47.84
1502.21,-9.9,-47.79
1502.22,-9.94,-47.68
1502.23,-9.95,-47.7
1502.24,-9.97,-47.69
1502.25,-9.93,-47.77
1502.26,-9.88,-47.77
1502.27,-9.81,-47.91
1502.28,-9.78,-47.8
1502.29,-9.75,-47.87
1502.3,-9.72,-47.94
1502.31,-9.64,-47.93
1502.32,-9.56,-48.02
1502.33,-9.51,-48.07
1502.34,-9.47,-48.05
1502.35,-9.42,-48.13
1502.36,-9.39,-48.22
1502.37,-9.35,-48.21
1502.38,-9.33,-48.25
1502.39,-9.31,-48.32
1502.4,-9.3,-48.22
1502.41,-9.27,-48.27
1502.42,-9.24,-48.31
1502.43,-9.22,-48.31
1502.44,-9.2,-48.39
1502.45,-9.19,-48.42
1502.46,-9.7,-47.88
1502.47,-10.03,-47.48
1502.48,-9.88,-47.64
1502.49,-9.74,-47.77
1502.5,-9.62,-47.84
1502.51,-9.34,-48.23
1502.52,-8.87,-48.64
1502.53,-8.75,-48.93
1502.54,-8.72,-48.86
1502.55,-8.54,-49.07
1502.56,-8.4,-49.33
1502.57,-8.38,-49.28
1502.58,-8.38,-49.24
1502.59,-8.38,-49.4
1502.6,-8.38,-49.32
1502.61,-8.39,-49.38
1502.62,-8.4,-49.37
1502.63,-8.4,-49.36
1502.64,-8.4,-49.45
1502.65,-8.41,-49.35
1502.66,-8.42,-49.51
1502.67,-8.45,-49.49
1502.68,-8.47,-49.5
1502.69,-8.5,-49.48
1502.7,-8.53,-49.36
1502.71,-8.55,-49.41
1502.72,-8.58,-49.45
1502.73,-8.63,-49.39
1502.74,-8.69,-49.32
1502.75,-8.72,-49.26
1502.76,-8.76,-49.24
1502.77,-8.84,-49.26
1502.78,-8.92,-49.03
1502.79,-9.01,-49.03
1502.8,-9.08,-48.85
1502.81,-9.13,-48.8
1502.82,-9.23,-48.7
1502.83,-9.33,-48.57
1502.84,-9.45,-48.43
1502.85,-9.5,-48.53
1502.86,-9.55,-48.4
1502.87,-9.61,-48.18
1502.88,-9.7,-48.15
1502.89,-9.8,-48.04
1502.9,-9.87,-47.92
1502.91,-9.82,-47.91
1502.92,-9.77,-48.14
1502.93,-9.77,-47.91
1502.94,-9.82,-47.94
1502.95,-9.85,-47.9
1502.96,-9.81,-47.89
1502.97,-9.74,-47.92
1502.98,-9.71,-47.92
1502.99,-9.72,-47.98
1503.0,-9.77,-47.87
1503.01,-9.79,-47.85
1503.02,-9.78,-47.86
1503.03,-9.72,-47.97
1503.04,-9.7,-47.95
1503.05,-9.69,-47.94
1503.06,-9.72,-47.93
1503.07,-9.71,-47.88
1503.08,-9.66,-48.02
1503.09,-9.6,-47.98
1503.1,-9.56,-48.09
1503.11,-9.53,-48.1
1503.12,-9.5,-48.02
1503.13,-9.47,-48.12
1503.14,-9.43,-48.2
1503.15,-9.38,-48.22
1503.16,-9.32,-48.45
1503.17,-9.3,-48.37
1503.18,-9.27,-48.4
1503.19,-9.24,-48.39
