id,frequency,power1,power2,power3
1,0.0,-81.672,-113.978,-114.897
2,0.008016032064128256,-84.105,-111.969,-112.028
3,0.01603206412825651,-82.553,-111.411,-112.329
4,0.024048096192384766,-81.656,-112.456,-111.411
5,0.03206412825651302,-81.346,-111.133,-111.669
6,0.04008016032064128,-80.593,-110.899,-112.736
7,0.04809619238476953,-81.866,-112.57,-111.513
8,0.05611222444889779,-82.322,-113.805,-112.538
9,0.06412825651302605,-82.891,-112.06,-112.958
10,0.0721442885771543,-82.791,-112.76,-112.598
11,0.08016032064128256,-82.827,-111.996,-112.492
12,0.08817635270541081,-82.613,-111.461,-113.221
13,0.09619238476953906,-82.034,-112.845,-113.408
14,0.10420841683366733,-81.547,-113.284,-112.35
15,0.11222444889779558,-82.28,-112.954,-114.043
16,0.12024048096192384,-82.977,-112.001,-112.975
17,0.1282565130260521,-82.312,-112.406,-114.268
18,0.13627254509018036,-82.156,-114.62,-113.17
19,0.1442885771543086,-81.901,-113.864,-113.95
20,0.15230460921843686,-81.593,-114.421,-114.61
21,0.16032064128256512,-80.401,-114.978,-113.484
22,0.16833667334669336,-80.346,-115.046,-115.558
23,0.17635270541082163,-80.086,-114.741,-114.98
24,0.1843687374749499,-79.938,-115.22,-114.376
25,0.19238476953907813,-80.463,-113.726,-114.559
26,0.2004008016032064,-81.48,-114.51,-114.894
27,0.20841683366733466,-82.097,-115.627,-113.813
28,0.21643286573146292,-82.093,-112.779,-114.358
29,0.22444889779559116,-82.274,-113.185,-113.947
30,0.23246492985971942,-82.426,-114.586,-113.864
31,0.24048096192384769,-81.326,-114.558,-115.828
32,0.24849699398797592,-80.79,-115.217,-115.078
33,0.2565130260521042,-80.288,-115.827,-115.221
34,0.26452905811623245,-79.367,-115.729,-115.658
35,0.2725450901803607,-79.853,-115.627,-114.637
36,0.280561122244489,-81.421,-113.888,-114.761
37,0.2885771543086172,-82.498,-115.007,-115.436
38,0.29659318637274545,-83.025,-114.825,-115.078
39,0.3046092184368737,-83.644,-114.424,-113.235
40,0.312625250501002,-84.052,-114.649,-114.036
41,0.32064128256513025,-83.029,-113.261,-113.983
42,0.3286573146292585,-82.101,-115.196,-114.168
43,0.3366733466933867,-81.651,-116.117,-114.099
44,0.344689378757515,-79.424,-114.603,-114.927
45,0.35270541082164325,-78.725,-114.063,-115.331
46,0.3607214428857715,-79.119,-114.632,-113.981
47,0.3687374749498998,-79.661,-113.293,-114.705
48,0.37675350701402804,-80.579,-114.327,-115.002
49,0.38476953907815625,-81.665,-114.843,-113.527
50,0.3927855711422845,-82.268,-114.346,-115.544
51,0.4008016032064128,-82.146,-114.866,-113.75
52,0.40881763527054105,-82.341,-114.954,-116.137
53,0.4168336673346693,-82.266,-115.331,-114.172
54,0.4248496993987976,-81.302,-115.196,-115.579
55,0.43286573146292584,-80.992,-115.406,-115.658
56,0.44088176352705405,-81.103,-114.313,-114.255
57,0.4488977955911823,-80.324,-114.875,-113.958
58,0.4569138276553106,-80.503,-113.151,-113.531
59,0.46492985971943884,-81.302,-115.834,-114.092
60,0.4729458917835671,-81.323,-114.385,-115.568
61,0.48096192384769537,-81.633,-115.187,-115.11
62,0.4889779559118236,-82.024,-114.779,-114.425
63,0.49699398797595185,-82.018,-115.244,-114.131
64,0.5050100200400801,-81.636,-115.005,-115.12
65,0.5130260521042084,-81.836,-115.801,-114.751
66,0.5210420841683366,-81.931,-114.141,-115.505
67,0.5290581162324649,-81.28,-115.697,-114.62
68,0.5370741482965932,-81.164,-114.61,-114.934
69,0.5450901803607214,-81.168,-114.955,-115.175
70,0.5531062124248497,-80.203,-114.163,-114.835
71,0.561122244488978,-79.904,-114.234,-114.489
72,0.5691382765531061,-80.146,-114.886,-115.205
73,0.5771543086172344,-79.867,-115.289,-115.715
74,0.5851703406813626,-80.459,-114.294,-114.844
75,0.5931863727454909,-81.544,-114.334,-115.206
76,0.6012024048096192,-82.163,-114.478,-114.57
77,0.6092184368737474,-82.612,-115.139,-115.538
78,0.6172344689378757,-83.361,-114.695,-113.566
79,0.625250501002004,-83.629,-114.202,-113.92
80,0.6332665330661322,-83.065,-115.154,-114.565
81,0.6412825651302605,-82.87,-113.393,-113.385
82,0.6492985971943888,-82.367,-114.57,-113.007
83,0.657314629258517,-81.055,-112.761,-112.294
84,0.6653306613226453,-80.395,-114.462,-115.145
85,0.6733466933867734,-80.231,-114.881,-113.852
86,0.6813627254509017,-79.991,-114.898,-114.26
87,0.68937875751503,-80.729,-113.723,-113.529
88,0.6973947895791582,-81.872,-114.329,-114.42
89,0.7054108216432865,-82.141,-115.1,-114.829
90,0.7134268537074148,-82.44,-114.79,-114.541
91,0.721442885771543,-82.829,-113.679,-114.648
92,0.7294589178356713,-82.767,-115.473,-114.628
93,0.7374749498997996,-81.923,-113.889,-113.212
94,0.7454909819639278,-81.636,-113.976,-113.022
95,0.7535070140280561,-81.269,-114.163,-113.946
96,0.7615230460921844,-80.543,-114.406,-115.403
97,0.7695390781563125,-80.733,-114.233,-114.355
98,0.7775551102204408,-81.264,-114.163,-114.522
99,0.785571142284569,-81.148,-113.885,-114.043
100,0.7935871743486973,-81.561,-114.587,-113.746
101,0.8016032064128256,-82.245,-114.492,-114.626
102,0.8096192384769538,-82.022,-115.016,-114.672
103,0.8176352705410821,-81.905,-114.028,-115.042
104,0.8256513026052104,-81.999,-114.527,-113.536
105,0.8336673346693386,-82.149,-114.913,-112.759
106,0.8416833667334669,-81.506,-113.583,-113.534
107,0.8496993987975952,-81.73,-113.654,-114.031
108,0.8577154308617234,-82.252,-113.741,-114.109
109,0.8657314629258517,-81.819,-114.163,-114.281
